32
19;18483;ANO KAMI HIKOHKI KUMORIZORA WATTE;Genki desu ka kimi wa ima mo;JP7D
365;6549;SAO PAULO;Tem dias que eu digo nao .;6D
10 cc;4920;I M NOT IN LOVE;I m not in love so don t forget it ;INT01, USA2A
10,000 Maniacs;19807;MORE THAN THIS;I could feel at the time;INT010A
14 Bis;7392;NATURAL;Penso em voce no seu jeito de falar;10D
14 Bis;7693;ROMANCE;Flores simples;11D
14 Bis;9556;UMA VELHA CANcAO ROCK N ROLL;Olhe oh oh oh venha solte seu corpo n;13D
14 Bis;3755;LINDA JUVENTUDE;Zabele, zumbi, besouro vespa fabricando;2D
14 Bis;6074;PLANETA SONHO;Aqui ninguem mais ficara depois do sol ;4H
14 Bis;6197;TODO AZUL DO MAR;Foi assim como ver o mar ;5C
14 Bis;1039;BOLA DE MEIA BOLA DE GUDE;Ha um menino ha um moleque Moran;INF1B
3 Doors Down;9033;HERE WITHOUT YOU;A hundred days had made me older;INT01, A42
4 Non Blondes;9072;WHAT S UP;Twenty five years and my life is still;INT01, A43
4 Non Blondes;2578;SPACEMAN;Starry night bring me down;INT04B
5 a Seco e Maria Gadu;15225;EM PAZ;Caiu do ceu se revelou anjo da noite e das manhas;24B
A Banda Mais Bonita da Cidade;2748;ORAcAO;Meu amor essa e a ultima oracao;21D
A Banda Mais Bonita da Cidade;15450;CANcAO PRA NAO VOLTAR;Nao volte pra casa meu amor que aqui;25D
A Cor Do Som;7480;ZANZIBAR;No azul de Jezebel no ceu de Calcuta;10B
A Cor do Som;15200;VIVA;Viva a alegria e viva o prazer;24A
A Cor Do Som;6402;ABRI A PORTA;Abri a porta apareci ;6A
A Cor Do Som;7175;MENINO DEUS;Menino Deus um corpo azul dourado;9A
A Teens;4970;SUPER TROUPER;Super trouper beams are gonna blind me ;INT01, USA2A
A Teens;4938;MAMMA MIA;I ve being cheated by you since I don t ;INT01,USA2C
A Turma Do Balao Magico;1543;BRUXINHA;O bruxinha bonitinha da vassoura de;18B
A Turma do Monica;7548;SER CRIANcA E BOM;Ser crianca e bom ser crianca faz bem ;INF1A
A VIGILIA;5614;JEOVA E O TEU CAVALEIRO;Jeova e o teu cavaleiro que ;EVA
A VIGILIA ;5617;JESUS TE ENTRONIZAMOS;Jesus nesta noite ;EVA
A VIGILIA ;5636;RENOVA ME;Renova me Senhor Jesus ja nao quero ;EVA
A VIGILIA 2;5608;ESTAMOS AQUI;Estamos aqui na casa de Deus ;EVA
A Zorra;9574;A COR DA ESPERANcA;Sei;14D
A.I.;2017;STORY;Kagirareta toki no naka de;JP4A
Abba;4877;CHIQUITITA;Chiquitita tell me what s wrong ;INT01,USA2C
